station_number,max_temperature,quality,date
86282,19.3,N,2019-05-17
86282,22,N,2019-05-18
86282,20.7,N,2019-05-19
86282,17.9,N,2019-05-20
86282,20.4,N,2019-05-21
86282,21.8,N,2019-05-22
86282,21,N,2019-05-23
86282,18.8,N,2019-05-24
86282,19,N,2019-05-25
86282,14.8,N,2019-05-26
86282,13.1,N,2019-05-27
86282,15.4,N,2019-05-28
86282,10.1,N,2019-05-29
86282,12.5,N,2019-05-30
86282,13.1,N,2019-05-31
86282,14.1,N,2019-06-01
86282,14.2,N,2019-06-02
86282,10.1,N,2019-06-03
86282,12,N,2019-06-04
86282,12.2,N,2019-06-05
86282,14.6,N,2019-06-06
86282,17.1,N,2019-06-07
86282,18.8,N,2019-06-08
86282,16.7,N,2019-06-09
86282,18.1,N,2019-06-10
86282,16.9,N,2019-06-11
86282,16,N,2019-06-12
86282,16.1,N,2019-06-13
86282,16.9,N,2019-06-14
86282,14.7,N,2019-06-15
86282,16,N,2019-06-16
86282,17.5,N,2019-06-17
86282,12.4,N,2019-06-18
86282,11.3,N,2019-06-19
86282,10,N,2019-06-20
86282,11.9,N,2019-06-21
86282,11.5,N,2019-06-22
86282,11,N,2019-06-23
86282,15.8,N,2019-06-24
86282,15.8,N,2019-06-25
86282,16.8,N,2019-06-26
86282,16.1,N,2019-06-27
86282,17.6,N,2019-06-28
86282,14.6,N,2019-06-29
86282,13.6,N,2019-06-30
86282,12.7,Y,2019-07-01
86282,15.8,Y,2019-07-02
86282,13.8,Y,2019-07-03
86282,12.9,Y,2019-07-04
86282,17.4,Y,2019-07-05
86282,17.4,Y,2019-07-06
86282,16.4,Y,2019-07-07
86282,14.8,Y,2019-07-08
86282,15.1,Y,2019-07-09
86282,15.2,Y,2019-07-10
86282,12.9,Y,2019-07-11
86282,14.7,Y,2019-07-12
86282,11.4,Y,2019-07-13
86282,13,Y,2019-07-14
86282,13.7,Y,2019-07-15
86282,13.1,Y,2019-07-16
86282,12.7,Y,2019-07-17
86282,14.4,Y,2019-07-18
86282,14.7,Y,2019-07-19
86282,16,Y,2019-07-20
86282,14.7,Y,2019-07-21
86282,15.5,Y,2019-07-22
86282,15,Y,2019-07-23
86282,14.5,Y,2019-07-24
86282,15.9,Y,2019-07-25
86282,12.6,Y,2019-07-26
86282,14.6,Y,2019-07-27
86282,14.2,Y,2019-07-28
86282,14.8,Y,2019-07-29
86282,11.8,Y,2019-07-30
86282,12.3,Y,2019-07-31
86282,12.8,N,2019-08-01
86282,12.5,N,2019-08-02
86282,13.2,N,2019-08-03
86282,13,N,2019-08-04
86282,15,N,2019-08-05
86282,12.7,N,2019-08-06
86282,14.6,N,2019-08-07
86282,13.2,N,2019-08-08
86282,9.2,N,2019-08-09
86282,12.3,N,2019-08-10
86282,12.2,N,2019-08-11
86282,12.4,N,2019-08-12
86282,12.8,N,2019-08-13
86282,14,N,2019-08-14
86282,15.9,N,2019-08-15
86282,16.4,N,2019-08-16
86282,15.6,N,2019-08-17
86282,18,N,2019-08-18
86282,11.8,N,2019-08-19
86282,16.1,N,2019-08-20
86282,15.7,N,2019-08-21
86282,12.9,N,2019-08-22
86282,15.3,N,2019-08-23
86282,17.9,N,2019-08-24
86282,13.7,N,2019-08-25
86282,14,N,2019-08-26
86282,15.4,N,2019-08-27
86282,12.2,N,2019-08-28
86282,12.1,N,2019-08-29
86282,15.7,N,2019-08-30
86282,17.6,N,2019-08-31
86282,18.8,N,2019-09-01
86282,17.5,N,2019-09-02
86282,21.6,N,2019-09-03
86282,19.6,N,2019-09-04
86282,19.4,N,2019-09-05
86282,15.6,N,2019-09-06
86282,13.1,N,2019-09-07
86282,15.4,N,2019-09-08
86282,12.7,N,2019-09-09
86282,14.5,N,2019-09-10
86282,20.2,N,2019-09-11
86282,20,N,2019-09-12
86282,17.6,N,2019-09-13
86282,19.9,N,2019-09-14
86282,19.5,N,2019-09-15
86282,12.4,N,2019-09-16
86282,13.2,N,2019-09-17
86282,19.4,N,2019-09-18
86282,23,N,2019-09-19
86282,24.7,N,2019-09-20
86282,18.9,N,2019-09-21
86282,15.4,N,2019-09-22
86282,15.9,N,2019-09-23
86282,14.9,N,2019-09-24
86282,16.5,N,2019-09-25
86282,20.5,N,2019-09-26
86282,19.4,N,2019-09-27
86282,14.6,N,2019-09-28
86282,15.3,N,2019-09-29
86282,14.7,N,2019-09-30
86282,22.6,N,2019-10-01
86282,26.4,N,2019-10-02
86282,28.9,N,2019-10-03
86282,15.7,N,2019-10-04
86282,23.3,N,2019-10-05
86282,24.4,N,2019-10-06
86282,16.8,N,2019-10-07
86282,13.3,N,2019-10-08
86282,15.1,N,2019-10-09
86282,14.6,N,2019-10-10
86282,19.3,N,2019-10-11
86282,19.6,N,2019-10-12
86282,22.3,N,2019-10-13
86282,25.6,N,2019-10-14
86282,18.4,N,2019-10-15
86282,19.8,N,2019-10-16
