stn,lat,lon,elev,state,name,flg1,flg2,wmo
ASN00002070,-16.8828,126.1267,416,NA,PHILLIPS RANGE,NA,NA,NA
ASN00002071,-18.2303,127.6625,422,NA,HALLS CREEK COMPARISON,NA,NA,NA
ASN00002075,-19.0378,126.0931,190,NA,BULKA,NA,NA,NA
ASN00003000,-16.9806,122.6667,9,NA,BEAGLE BAY,NA,NA,NA
ASN00003001,-17.2767,122.5711,153,NA,COUNTRY DOWNS,NA,NA,NA
ASN00003002,-17.95,122.25,19,NA,BROOME POST OFFICE,NA,NA,NA
ASN00003003,-17.9475,122.2353,7.4,NA,BROOME AIRPORT,GS,N,9420
ASN00003004,-16.3961,122.9278,25,NA,CAPE LEVEQUE,NA,NA,NA
ASN00003005,-17.5731,125.065,120,NA,FAIRFIELD STATION,NA,NA,NA
ASN00003006,-18.1919,125.5644,114,NA,FITZROY CROSSING COMP.,NA,NA,NA
ASN00003007,-17.3044,123.6292,8,NA,DERBY POST OFFICE,NA,NA,NA
ASN00003008,-17.9281,124.8108,120,NA,ELLENDALE,NA,NA,NA
ASN00003009,-18.355,125.3033,100,NA,JUBILEE DOWNS,NA,NA,NA
ASN00003010,-17.3897,124.3578,90,NA,KIMBERLEY DOWNS,NA,NA,NA
ASN00003011,-17.7535,125.3807,220,NA,LEOPOLD DOWNS,NA,NA,NA
ASN00003012,-18.0483,124.1728,60,NA,LIVERINGA UPPER,NA,NA,NA
ASN00003013,-18.145,124.0275,80,NA,LULUIGUI,NA,NA,NA
ASN00003014,-18.2914,125.5869,150,NA,GOGO STATION,NA,NA,NA
ASN00003015,-17.3681,123.9956,75,NA,MEDA,NA,NA,NA
ASN00003016,-18.0358,123.9286,40,NA,MOUNT ANDERSON,NA,NA,NA
ASN00003017,-17.0522,125.7047,270,NA,MOUNT HOUSE STATION,NA,NA,NA
ASN00003018,-18.1219,124.2692,60,NA,MYROODAH,NA,NA,NA
ASN00003019,-17.3306,124.8167,80,NA,NAPIER DOWNS,NA,NA,NA
ASN00003020,-18.5,124.3992,95,NA,NERRIMA,NA,NA,NA
ASN00003021,-18.4875,124.8231,70,NA,NOONKANBAH,NA,NA,NA
ASN00003022,-18.3817,125.2267,100,NA,QUANBUN DOWNS,NA,NA,NA
ASN00003023,-17.9311,122.4725,15,NA,ROEBUCK PLAINS,NA,NA,NA
ASN00003024,-17.9464,123.7383,20,NA,UDIALLA,NA,NA,NA
ASN00003025,-16.09,123.5942,13,NA,COCKATOO ISLAND,NA,NA,NA
ASN00003026,-17.6153,123.6483,5,NA,YEEDA,NA,NA,NA
ASN00003027,-18.1386,125.7764,120,NA,FOSSIL DOWNS,NA,NA,NA
ASN00003028,-19.2536,121.4861,10,NA,ANNA PLAINS,NA,NA,NA
ASN00003029,-18.7983,121.7125,9,NA,FRAZIER DOWNS,NA,NA,NA
ASN00003030,-18.6844,121.7803,11,NA,BIDYADANGA,NA,NA,9420
ASN00003031,-16.5167,122.8908,20,NA,LOMBADINA MISSION,NA,NA,NA
ASN00003032,-17.3706,123.6611,6.2,NA,DERBY AERO,NA,NA,9520
ASN00003033,-17.7472,124.5283,60,NA,BLINA,NA,NA,NA
ASN00003035,-16.4,124.95,-999.9,NA,MUNJA,NA,NA,NA
ASN00003036,-18,122.2167,9,NA,BROOME QUARANTINE STATION,NA,NA,NA
ASN00003037,-17.4333,123.75,-999.9,NA,MUNKAYARRA,NA,NA,NA
ASN00003039,-16.9667,125.3,-999.9,NA,SILENT GROVE,NA,NA,NA
ASN00003040,-17.9903,124.1922,45,NA,CAMBALLIN,NA,NA,NA
ASN00003041,-17.6925,122.7128,60,NA,KILTO STATION,NA,NA,NA
ASN00003042,-19.2833,121.5,3,NA,TALGARNO,NA,NA,NA
ASN00003043,-18.8789,125.9206,160,NA,CHRISTMAS CREEK,NA,NA,NA
ASN00003044,-18.1103,125.6431,110,NA,BROOKING SPRINGS,NA,NA,NA
ASN00003045,-19.1,121.5,-999.9,NA,CALANGADIE,NA,NA,NA
ASN00003046,-18.4833,125.3333,91,NA,CHERRABUN,NA,NA,NA
ASN00003047,-18.4,123.1,-999.9,NA,DAMPIER DOWNS,NA,NA,NA
ASN00003048,-18.9158,125.5264,151,NA,CHERRABUN,NA,NA,NA
ASN00003049,-16.9,125.7,-999.9,NA,ISADELL DOWNS,NA,NA,NA
ASN00003050,-17.95,124.1667,-999.9,NA,LIVERINGA LOWER,NA,NA,NA
ASN00003051,-16.7372,125.9086,401,NA,MOUNT BARNETT,NA,NA,NA
ASN00003052,-16.8206,124.9158,190,NA,MOUNT HART STATION,NA,NA,NA
ASN00003053,-16.7,123.9833,-999.9,NA,OBAGAMA,NA,NA,NA
