UID,Name,DOI,Citation,Rights,More.Information,Data.generalisations,Information.withheld,Download.limit,Number.of.Records.in.Download
dr346,South Australian Museum Australia provider for OZCAM,doi:10.15468/wz4rrh,"South Australian Museum, http://www.samuseum.sa.gov.au/",CC-BY,For more information: https://collections.ala.org.au/public/show/dr346,,,NA,60
dr345,Queen Victoria Museum Art Gallery provider for OZCAM,doi:10.15468/tedfxn,"Queen Victoria Museum and Art Gallery, http://www.qvmag.tas.gov.au/",CC-BY,For more information: https://collections.ala.org.au/public/show/dr345,,,NA,78
dr1411,iNaturalist,,"iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16",CC-BY-NC-Int,For more information: https://collections.ala.org.au/public/show/dr1411,,,NA,140
dr340,Australian Museum provider for OZCAM,doi:10.15468/e7susi,"Australian Museum, http://australianmuseum.net.au/",CC-BY,For more information: https://collections.ala.org.au/public/show/dr340,,,NA,433
in22,South Australian Museum,,"Records provided by South Australian Museum, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/in22,,,NA,60
dr342,Museums Victoria provider for OZCAM,doi:10.15468/lp1ctu,"Museums Victoria, http://museumvictoria.com.au/",CC-BY,For more information: https://collections.ala.org.au/public/show/dr342,,,NA,306
dr341,Australian National Wildlife Collection provider for OZCAM,doi:10.15468/gscnac,"Australian National Wildlife Collection, CSIRO, http://www.csiro.au/",CC-BY Data is available under the Creative Commons Attribution 3.0 Australia license.  Sound files associated with specimen records are not available for download and re-use. Please contact the Australian National Wildlife Collection for more information.,For more information: https://collections.ala.org.au/public/show/dr341,,,NA,59
in25,Tasmanian Museum and Art Gallery,,"Records provided by Tasmanian Museum and Art Gallery, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/in25,,,NA,37
dr348,Western Australian Museum provider for OZCAM,doi:10.15468/5qt0dm,"Western Australian Museum, http://www.museum.wa.gov.au/",CC-BY,For more information: https://collections.ala.org.au/public/show/dr348,,,NA,8
dr347,Tasmanian Museum and Art Gallery provider for OZCAM,doi:10.15468/ijp8p9,"Tasmanian Museum and Art Gallery, http://www.tmag.tas.gov.au/",CC-BY,For more information: https://collections.ala.org.au/public/show/dr347,,,NA,37
dr702,Atlas of Life in the Coastal Wilderness - Sightings,doi:10.15468/rtxjkt,Atlas of Life in the Coastal Wilderness (http://www.atlasoflife.org.au/),CC-BY,For more information: https://collections.ala.org.au/public/show/dr702,,,NA,3
dr9662,Brisbane City Council,doi:10.15468/ljfjwq,Brisbane City Council (https://www.brisbane.qld.gov.au/),Creative Commons Attribution (Australia) (CC-BY 3.0 (Au)),For more information: https://collections.ala.org.au/public/show/dr9662,,,NA,33
dp43,Atlas of Life in the Coastal Wilderness,,"Records provided by Atlas of Life in the Coastal Wilderness, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/dp43,,,NA,3
dr2592,Logan City Council Species Sightings,doi:10.15468/pxqupc,"Logan City Council, Queensland",CC-BY,For more information: https://collections.ala.org.au/public/show/dr2592,,,NA,11
in4,Australian Museum,,"Records provided by Australian Museum, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/in4,,,NA,433
in6,Commonwealth Scientific and Industrial Research Organisation,,"Records provided by Commonwealth Scientific and Industrial Research Organisation, accessed through ALA website.",,For more information: https://collections.ala.org.au/public/show/in6,,,NA,59
