Program.ID,Broad.Field,Field,Institution.Name,Program.Name,Program.Website,Control,Regional.Code.1.NE.2.MW.3.SA.4.SC.5.W,Program.Size.Quartile,R.Rankings.5th.Percentile,R.Rankings.95th.Percentile,S.Rankings.5th.Percentile,S.Rankings.95th.Percentile,Research.Activity.5th.Percentile,Research.Activity.95th.Percentile,Student.Support.Outcomes.5th.Percentile,Student.Support.Outcomes.95th.Percentile,Diversity.5th.Percentile,Diversity.95th.Percentile,Average.Publications,Average.Citations,Faculty.with.Grants.Pct,Awards.per.Faculty,FirstYrs.Full.Supp.Pct,Avg.Completion.Pct.6Yrs,Median.Time.to.Degree,Academic.Plans.Pct,Collects.Data.,Non.Asian.Min.Fac.Pct,Female.Faculty.Pct,Non.Asian.Min.Stud.Pct,Female.Stud.Pct,Int.Stud.Pct,Ave.Num.Ph.Ds,Pct.Interdisc.Fac,Ave.GRE.Scores,Pct.FirstYrs.Ext.Fellows,Student.Work.Space,Health.Insurance,Num.Student.Activities,Total.Faculty,Num.Allocated.Faculty,Asst.Prof.Pct,Tenured.Faculty.Pct,Num.Core.and.New.Fac,Num.Students,Ave.First.Yr.Enrol,Pct.Stud.RAs,Pct.Stud.TAs,Orientation,Internat.Orientation,Language.Screening,Instruction.in.Writing,Instruction.in.Statistics,Prizes.Awards,Training.Proposal,Graduate.Research.Conf,Training.Academic.Integrity,Active.GSA,Staff.Assigned.GSA,Financial.Support.GSA,Acad.Grievance.Proc,Dispute.Resolution.Proc,Grad.Directors.Coord.Meet,Annual.Review.Doctoral.Students,Training.Teaching,Travel.Support,Student.Activities
20019521,Physical and Mathematical Sciences,Statistics and Probability,GEORGE WASHINGTON UNIVERSITY,Statistics,http://www.gwu.edu/~stat/phd.htm,Private,3,1,28,53,49,58,36,49,38,58,37,56,0.88,0.60,36.4,0.55,100.0,30.0,5.60,0,1,0,9.1,0,26.3,73.7,1.6,0,789,0,-1,1,15,11,11,9.0,91.0,11,19,4.80,0,57.1,3,1,1,1,4,3,3,2,4,2,4,2,1,3,3,3,2,3,15
20066464,Physical and Mathematical Sciences,Statistics and Probability,HARVARD UNIVERSITY,Statistics,http://www.stat.harvard.edu,Private,1,2,2,5,2,3,2,2,8,34,20,44,1.61,5.94,80.8,1.15,100.0,65.3,5.00,30.5,1,10.0,20.0,16.7,25.0,67.9,3.4,28.6,800,0,1,1,16,14,9.58,29.0,14.0,10,28,5.40,0,0,3,1,3,1,4,1,1,3,4,3,1,3,1,3,1,3,3,3,16
20016731,Physical and Mathematical Sciences,Statistics and Probability,IOWA STATE UNIVERSITY,Statistics,http://www.stat.iastate.edu,Public,2,4,2,9,7,17,15,36,6,31,20,44,1.01,1.30,74.7,0.03,95.5,50.8,5.80,56.5,1,5.9,26.5,3.0,47.6,56.1,15,10.5,778,60.0,1,1,17,38,31.59,21.0,71.0,34,82,15.40,48.2,21.2,3,3,3,1,2,3,4,2,1,3,3,3,3,3,3,2,3,3,17
20056458,Physical and Mathematical Sciences,Statistics and Probability,JOHNS HOPKINS UNIVERSITY,Applied Mathematics & Statistics,http://www.ams.jhu.edu,Private,3,3,4,34,24,42,11,24,59,60,35,53,0.77,2.59,77.6,0.39,41.7,29.9,6.00,40.7,-1,8.3,8.3,0,37.1,62.9,2.6,0,789,8.3,1,1,18,13,12.68,0,77.0,13,35,7.60,6.9,48.3,1,1,1,1,3,1,1,2,1,1,1,3,1,3,1,2,3,2,18
20028732,Physical and Mathematical Sciences,Statistics and Probability,KANSAS STATE UNIVERSITY,Statistics,http://www.k-state.edu/stats/,Public,2,1,34,59,53,60,56,58,21,53,11,39,0.46,0.46,19.1,0,75.0,75.0,5.00,55.6,-1,0,25.0,0,38.1,81.0,2.8,0,729,0,1,1,15,12,10.93,17.0,67.0,12,21,5.60,14.3,66.7,3,1,3,1,4,1,4,1,4,1,1,1,1,1,1,2,3,2,15
20047247,Physical and Mathematical Sciences,Statistics and Probability,MICHIGAN STATE UNIVERSITY,Statistics,http://www.stt.msu.edu,Public,2,2,21,49,24,40,37,50,14,40,2,11,0.7,0.98,48.3,0.24,85.7,50.8,5.00,43.8,1,8.3,16.0,0,57.7,92.3,3.4,28.6,787,0,1,1,17,35,22.4,23.0,71.0,25,26,6.80,15.4,42.3,3,3,3,1,1,3,1,4,1,1,1,1,3,3,3,3,1,3,17
20041667,Physical and Mathematical Sciences,Statistics and Probability,NORTH CAROLINA STATE UNIVERSITY,Statistics,http://www.stat.ncsu.edu,Public,3,4,3,13,16,27,15,29,27,53,7,33,1.01,2.34,60.2,0.06,88.0,43.0,4.40,20.0,1,7.9,28.6,8.0,56.1,56.1,12.4,16.7,772,0,1,1,17,42,30.94,36.0,62.0,35,114,17.80,14.0,27.2,3,3,3,1,1,3,1,3,3,3,3,3,1,1,3,4,3,3,17
20026941,Physical and Mathematical Sciences,Statistics and Probability,NORTH DAKOTA STATE UNIVERSITY MAIN CAMPUS,Statistics,http://www.ndsu.edu/statistics/,Public,2,1,48,61,61,61,60,61,38,57,27,53,0.09,0.09,0,0,66.7,0,6.00,,1,0,40.0,50.0,50.0,0,1,0,779,5.6,-1,-1,10,5,5,0,40.0,5,9,2.20,16.7,33.3,3,1,3,1,1,4,4,2,4,4,4,4,1,1,3,2,4,4,10
20069092,Physical and Mathematical Sciences,Statistics and Probability,NORTHWESTERN UNIVERSITY,Statistics,http://www.wcas.northwestern.edu/statistics/,Private,2,1,18,48,18,34,24,43,1,11,8,34,0.8,1.48,61.3,0.1,100.0,54.0,3.50,,1,0,27.3,0,50.0,75.0,1.2,0,783,0,1,1,15,11,9.84,36.0,64.0,11,8,2.20,0,62.5,3,3,1,1,4,1,1,1,1,1,1,1,,,3,3,1,3,15
20028839,Physical and Mathematical Sciences,Statistics and Probability,OHIO STATE UNIVERSITY MAIN CAMPUS,Biostatistics,http://www.stat.ohio-state.edu/,Public,2,1,19,54,20,40,17,43,12,43,2,12,0.66,0.51,96.1,0.35,100.0,37.5,5.50,42.3,1,0,26.3,0,58.3,91.7,2,0,798,0,1,1,18,19,2.59,11.0,58.0,19,12,2.00,54.5,27.3,3,1,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,18
