"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_WAC","AIRPORT_COUNTRY_NAME","AIRPORT_COUNTRY_CODE_ISO","AIRPORT_STATE_NAME","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","CITY_MARKET_WAC","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
1355701,13557,"MXH","Moro Airport","Moro, Papua New Guinea",804,"Papua New Guinea","PG","","","",33557,"Moro, Papua New Guinea",804,6,"S",21,0,-6.35000000,143,"E",15,0,143.25000000,1995-03-01,2011-06-30,0,0,
1355702,13557,"MXH","Moro Airport","Moro, Papua New Guinea",804,"Papua New Guinea","PG","","","",33557,"Moro, Papua New Guinea",804,6,"S",21,48,-6.36333333,143,"E",14,17,143.23805556,2011-07-01,,0,1,
1355801,13558,"MXJ","Minna Airport","Minna, Nigeria",555,"Nigeria","NG","","","",33558,"Minna, Nigeria",555,9,"N",39,8,9.65222222,6,"E",27,44,6.46222222,2007-11-01,,0,1,
1355901,13559,"MXL","General Rodolfo Sanchez Taboada International","Mexicali, Mexico",148,"Mexico","MX","","","",33559,"Mexicali, Mexico",148,32,"N",37,50,32.63055556,115,"W",14,30,-115.24166667,1950-01-01,2011-06-30,0,0,
1355902,13559,"MXL","General Rodolfo Sanchez Taboada International","Mexicali, Mexico",148,"Mexico","MX","","","",33559,"Mexicali, Mexico",148,32,"N",37,50,32.63055556,115,"W",14,27,-115.24083333,2011-07-01,2011-09-30,0,0,
1355903,13559,"MXL","General Rodolfo Sanchez Taboada International","Mexicali, Mexico",148,"Mexico","MX","","","",33559,"Mexicali, Mexico",148,32,"N",37,50,32.63055556,115,"W",14,30,-115.24166667,2011-10-01,,0,1,
1356001,13560,"MXP","Malpensa","Milan, Italy",450,"Italy","IT","","","",32987,"Milan, Italy",450,45,"N",37,58,45.63277778,8,"E",43,56,8.73222222,1950-01-01,1999-12-31,0,0,
1356002,13560,"MXP","Malpensa","Milan, Italy",450,"Italy","IT","","","",32987,"Milan, Italy",450,45,"N",37,54,45.63166667,8,"E",43,40,8.72777778,2000-01-01,2011-06-30,0,0,
1356003,13560,"MXP","Malpensa","Milan, Italy",450,"Italy","IT","","","",32987,"Milan, Italy",450,45,"N",37,50,45.63055556,8,"E",43,41,8.72805556,2011-07-01,,0,1,
1356101,13561,"MXS","Maota Airport","Maota, Samoa",892,"Samoa","WS","","","",33561,"Maota, Samoa",892,13,"S",44,33,-13.74250000,172,"W",15,28,-172.25777778,2002-10-01,,0,1,
1356201,13562,"MXT","Maintirano Airport","Maintirano, Madagascar",541,"Madagascar","MG","","","",33562,"Maintirano, Madagascar",541,18,"S",2,52,-18.04777778,44,"E",1,58,44.03277778,1975-06-01,1978-05-31,0,0,
1356202,13562,"MXT","Maintirano Airport","Maintirano, Madagascar",541,"Madagascar","MG","","","",33562,"Maintirano, Madagascar",541,18,"S",2,52,-18.04777778,44,"E",1,58,44.03277778,1978-06-01,2011-06-30,0,0,
1356203,13562,"MXT","Maintirano Airport","Maintirano, Madagascar",541,"Madagascar","MG","","","",33562,"Maintirano, Madagascar",541,18,"S",3,2,-18.05055556,44,"E",1,56,44.03222222,2011-07-01,,0,1,
1356301,13563,"MXX","Mora Airport","Mora, Sweden",484,"Sweden","SE","","","",33563,"Mora, Sweden",484,61,"N",0,0,61.00000000,14,"E",33,0,14.55000000,1984-09-01,2011-06-30,0,0,
1356302,13563,"MXX","Mora Airport","Mora, Sweden",484,"Sweden","SE","","","",33563,"Mora, Sweden",484,60,"N",57,28,60.95777778,14,"E",30,41,14.51138889,2011-07-01,,0,1,
1356401,13564,"MXY","McCarthy Airport","McCarthy, AK",1,"United States","US","Alaska","AK","02",33564,"McCarthy, AK",1,61,"N",26,21,61.43916667,142,"W",55,26,-142.92388889,1950-01-01,2011-06-30,0,0,
1356402,13564,"MXY","McCarthy Airport","McCarthy, AK",1,"United States","US","Alaska","AK","02",33564,"McCarthy, AK",1,61,"N",26,13,61.43694444,142,"W",54,13,-142.90361111,2011-07-01,2015-03-31,0,0,
1356403,13564,"MXY","McCarthy Airport","McCarthy, AK",1,"United States","US","Alaska","AK","02",33564,"McCarthy, AK",1,61,"N",26,16,61.43777778,142,"W",54,9,-142.90250000,2015-04-01,,0,1,
1356501,13565,"MYA","Moruya Airport","Moruya, Australia",802,"Australia","AU","","","",33565,"Moruya, Australia",802,35,"S",54,6,-35.90166667,150,"E",8,48,150.14666667,1950-01-01,2011-06-30,0,0,
1356502,13565,"MYA","Moruya Airport","Moruya, Australia",802,"Australia","AU","","","",33565,"Moruya, Australia",802,35,"S",53,52,-35.89777778,150,"E",8,40,150.14444444,2011-07-01,,0,1,
1356601,13566,"MYB","Mayumba Airport","Mayumba, Gabon",526,"Gabon","GA","","","",33566,"Mayumba, Gabon",526,3,"S",27,30,-3.45833333,10,"E",40,36,10.67666667,1981-03-01,,0,1,
1356701,13567,"MYC","Maracay Airport","Maracay, Venezuela",388,"Venezuela","VE","","","",33567,"Maracay, Venezuela",388,10,"N",15,0,10.25000000,67,"W",36,0,-67.60000000,1989-06-01,,0,1,
1356801,13568,"MYD","Malindi Airport","Malindi, Kenya",535,"Kenya","KE","","","",33568,"Malindi, Kenya",535,3,"S",13,34,-3.22611111,40,"E",6,2,40.10055556,1963-12-01,2011-06-30,0,0,
1356802,13568,"MYD","Malindi Airport","Malindi, Kenya",535,"Kenya","KE","","","",33568,"Malindi, Kenya",535,3,"S",13,46,-3.22944444,40,"E",6,6,40.10166667,2011-07-01,,0,1,
1356901,13569,"MYE","Miyake Jima Airport","Miyake Jima, Japan",736,"Japan","JP","","","",33569,"Miyake Jima, Japan",736,34,"N",4,10,34.06944444,139,"E",33,45,139.56250000,1950-01-01,2011-06-30,0,0,
1356902,13569,"MYE","Miyake Jima Airport","Miyake Jima, Japan",736,"Japan","JP","","","",33569,"Miyake Jima, Japan",736,34,"N",4,20,34.07222222,139,"E",33,36,139.56000000,2011-07-01,,0,1,
1357001,13570,"MYF","Montgomery Field","San Diego, CA",91,"United States","US","California","CA","06",33570,"San Diego, CA",91,32,"N",48,57,32.81583333,117,"W",8,22,-117.13944444,1950-01-01,,0,1,
1357101,13571,"MYG","Mayaguana Aux Af","Mayaguana, The Bahamas",204,"The Bahamas","BS","","","",33571,"Mayaguana, The Bahamas",204,22,"N",22,36,22.37666667,73,"W",1,6,-73.01833333,1973-07-01,1980-02-29,0,0,
1357102,13571,"MYG","Mayaguana Airport","Mayaguana, The Bahamas",204,"The Bahamas","BS","","","",33571,"Mayaguana, The Bahamas",204,22,"N",22,36,22.37666667,73,"W",1,6,-73.01833333,1980-03-01,2011-06-30,0,0,
1357103,13571,"MYG","Mayaguana Airport","Mayaguana, The Bahamas",204,"The Bahamas","BS","","","",33571,"Mayaguana, The Bahamas",204,22,"N",22,46,22.37944444,73,"W",0,49,-73.01361111,2011-07-01,2014-04-30,0,0,
1357104,13571,"MYG","Mayaguana Airport","Mayaguana, The Bahamas",204,"The Bahamas","BS","","","",33571,"Mayaguana, The Bahamas",204,22,"N",22,46,22.37944444,73,"W",0,48,-73.01333333,2014-05-01,2015-03-31,0,0,
1357105,13571,"MYG","Mayaguana Airport","Mayaguana, The Bahamas",204,"The Bahamas","BS","","","",33571,"Mayaguana, The Bahamas",204,22,"N",22,46,22.37944444,73,"W",0,49,-73.01361111,2015-04-01,,0,1,
