Sensor,Date_Time,Date,Time,Count
Flinders Street Station Underpass,2019-07-04T04:00:00Z,2019-07-04,14,2021
Melbourne Central,2019-07-04T05:00:00Z,2019-07-04,15,2286
Flinders Street Station Underpass,2019-07-04T05:00:00Z,2019-07-04,15,2414
Melbourne Central,2019-07-04T06:00:00Z,2019-07-04,16,2167
Flinders Street Station Underpass,2019-07-04T06:00:00Z,2019-07-04,16,3393
Melbourne Central,2019-07-04T07:00:00Z,2019-07-04,17,2743
Flinders Street Station Underpass,2019-07-04T07:00:00Z,2019-07-04,17,5409
Melbourne Central,2019-07-04T08:00:00Z,2019-07-04,18,2658
Flinders Street Station Underpass,2019-07-04T08:00:00Z,2019-07-04,18,3101
Melbourne Central,2019-07-04T09:00:00Z,2019-07-04,19,2180
Flinders Street Station Underpass,2019-07-04T09:00:00Z,2019-07-04,19,1781
Melbourne Central,2019-07-04T10:00:00Z,2019-07-04,20,1857
Flinders Street Station Underpass,2019-07-04T10:00:00Z,2019-07-04,20,1338
Melbourne Central,2019-07-04T11:00:00Z,2019-07-04,21,1782
Flinders Street Station Underpass,2019-07-04T11:00:00Z,2019-07-04,21,1125
Melbourne Central,2019-07-04T12:00:00Z,2019-07-04,22,1151
Flinders Street Station Underpass,2019-07-04T12:00:00Z,2019-07-04,22,838
Melbourne Central,2019-07-04T13:00:00Z,2019-07-04,23,568
Flinders Street Station Underpass,2019-07-04T13:00:00Z,2019-07-04,23,574
Melbourne Central,2019-07-04T14:00:00Z,2019-07-05,0,336
Flinders Street Station Underpass,2019-07-04T14:00:00Z,2019-07-05,0,239
Melbourne Central,2019-07-04T15:00:00Z,2019-07-05,1,151
Flinders Street Station Underpass,2019-07-04T15:00:00Z,2019-07-05,1,84
Melbourne Central,2019-07-04T16:00:00Z,2019-07-05,2,83
Flinders Street Station Underpass,2019-07-04T16:00:00Z,2019-07-05,2,62
Melbourne Central,2019-07-04T17:00:00Z,2019-07-05,3,76
Flinders Street Station Underpass,2019-07-04T17:00:00Z,2019-07-05,3,60
Melbourne Central,2019-07-04T18:00:00Z,2019-07-05,4,47
Flinders Street Station Underpass,2019-07-04T18:00:00Z,2019-07-05,4,49
Melbourne Central,2019-07-04T19:00:00Z,2019-07-05,5,93
Flinders Street Station Underpass,2019-07-04T19:00:00Z,2019-07-05,5,227
Melbourne Central,2019-07-04T20:00:00Z,2019-07-05,6,173
Flinders Street Station Underpass,2019-07-04T20:00:00Z,2019-07-05,6,937
Melbourne Central,2019-07-04T21:00:00Z,2019-07-05,7,240
Flinders Street Station Underpass,2019-07-04T21:00:00Z,2019-07-05,7,1677
Melbourne Central,2019-07-04T22:00:00Z,2019-07-05,8,557
Flinders Street Station Underpass,2019-07-04T22:00:00Z,2019-07-05,8,3763
Melbourne Central,2019-07-04T23:00:00Z,2019-07-05,9,609
Flinders Street Station Underpass,2019-07-04T23:00:00Z,2019-07-05,9,2238
Melbourne Central,2019-07-05T00:00:00Z,2019-07-05,10,810
Flinders Street Station Underpass,2019-07-05T00:00:00Z,2019-07-05,10,1435
Melbourne Central,2019-07-05T01:00:00Z,2019-07-05,11,1471
Flinders Street Station Underpass,2019-07-05T01:00:00Z,2019-07-05,11,1749
Melbourne Central,2019-07-05T02:00:00Z,2019-07-05,12,2484
Flinders Street Station Underpass,2019-07-05T02:00:00Z,2019-07-05,12,2584
Melbourne Central,2019-07-05T03:00:00Z,2019-07-05,13,2626
Flinders Street Station Underpass,2019-07-05T03:00:00Z,2019-07-05,13,2718
Melbourne Central,2019-07-05T04:00:00Z,2019-07-05,14,2398
Flinders Street Station Underpass,2019-07-05T04:00:00Z,2019-07-05,14,2544
Melbourne Central,2019-07-05T05:00:00Z,2019-07-05,15,2314
Flinders Street Station Underpass,2019-07-05T05:00:00Z,2019-07-05,15,2854
Melbourne Central,2019-07-05T06:00:00Z,2019-07-05,16,2402
Flinders Street Station Underpass,2019-07-05T06:00:00Z,2019-07-05,16,3672
Melbourne Central,2019-07-05T07:00:00Z,2019-07-05,17,3100
Flinders Street Station Underpass,2019-07-05T07:00:00Z,2019-07-05,17,5069
Melbourne Central,2019-07-05T08:00:00Z,2019-07-05,18,3194
Flinders Street Station Underpass,2019-07-05T08:00:00Z,2019-07-05,18,3224
Melbourne Central,2019-07-05T09:00:00Z,2019-07-05,19,2729
Flinders Street Station Underpass,2019-07-05T09:00:00Z,2019-07-05,19,2216
Melbourne Central,2019-07-05T10:00:00Z,2019-07-05,20,2462
Flinders Street Station Underpass,2019-07-05T10:00:00Z,2019-07-05,20,1619
Melbourne Central,2019-07-05T11:00:00Z,2019-07-05,21,2589
Flinders Street Station Underpass,2019-07-05T11:00:00Z,2019-07-05,21,1586
Melbourne Central,2019-07-05T12:00:00Z,2019-07-05,22,1793
Flinders Street Station Underpass,2019-07-05T12:00:00Z,2019-07-05,22,1453
Melbourne Central,2019-07-05T13:00:00Z,2019-07-05,23,1372
Flinders Street Station Underpass,2019-07-05T13:00:00Z,2019-07-05,23,1135
Melbourne Central,2019-07-05T14:00:00Z,2019-07-06,0,886
Flinders Street Station Underpass,2019-07-05T14:00:00Z,2019-07-06,0,663
Melbourne Central,2019-07-05T15:00:00Z,2019-07-06,1,563
Flinders Street Station Underpass,2019-07-05T15:00:00Z,2019-07-06,1,479
Melbourne Central,2019-07-05T16:00:00Z,2019-07-06,2,271
Flinders Street Station Underpass,2019-07-05T16:00:00Z,2019-07-06,2,224
Melbourne Central,2019-07-05T17:00:00Z,2019-07-06,3,198
Flinders Street Station Underpass,2019-07-05T17:00:00Z,2019-07-06,3,151
Melbourne Central,2019-07-05T18:00:00Z,2019-07-06,4,126
Flinders Street Station Underpass,2019-07-05T18:00:00Z,2019-07-06,4,147
Melbourne Central,2019-07-05T19:00:00Z,2019-07-06,5,121
Flinders Street Station Underpass,2019-07-05T19:00:00Z,2019-07-06,5,135
Melbourne Central,2019-07-05T20:00:00Z,2019-07-06,6,110
Flinders Street Station Underpass,2019-07-05T20:00:00Z,2019-07-06,6,226
Melbourne Central,2019-07-05T21:00:00Z,2019-07-06,7,269
Flinders Street Station Underpass,2019-07-05T21:00:00Z,2019-07-06,7,409
Melbourne Central,2019-07-05T22:00:00Z,2019-07-06,8,302
Flinders Street Station Underpass,2019-07-05T22:00:00Z,2019-07-06,8,487
Melbourne Central,2019-07-05T23:00:00Z,2019-07-06,9,486
Flinders Street Station Underpass,2019-07-05T23:00:00Z,2019-07-06,9,889
Melbourne Central,2019-07-06T00:00:00Z,2019-07-06,10,753
Flinders Street Station Underpass,2019-07-06T00:00:00Z,2019-07-06,10,1233
Melbourne Central,2019-07-06T01:00:00Z,2019-07-06,11,1336
Flinders Street Station Underpass,2019-07-06T01:00:00Z,2019-07-06,11,1673
Melbourne Central,2019-07-06T02:00:00Z,2019-07-06,12,1945
Flinders Street Station Underpass,2019-07-06T02:00:00Z,2019-07-06,12,1903
Melbourne Central,2019-07-06T03:00:00Z,2019-07-06,13,2105
Flinders Street Station Underpass,2019-07-06T03:00:00Z,2019-07-06,13,1872
Melbourne Central,2019-07-06T04:00:00Z,2019-07-06,14,2414
Flinders Street Station Underpass,2019-07-06T04:00:00Z,2019-07-06,14,2440
Melbourne Central,2019-07-06T05:00:00Z,2019-07-06,15,2598
Flinders Street Station Underpass,2019-07-06T05:00:00Z,2019-07-06,15,2275
Melbourne Central,2019-07-06T06:00:00Z,2019-07-06,16,2493
Flinders Street Station Underpass,2019-07-06T06:00:00Z,2019-07-06,16,2761
Melbourne Central,2019-07-06T07:00:00Z,2019-07-06,17,2659
Flinders Street Station Underpass,2019-07-06T07:00:00Z,2019-07-06,17,2579
Melbourne Central,2019-07-06T08:00:00Z,2019-07-06,18,2649
Flinders Street Station Underpass,2019-07-06T08:00:00Z,2019-07-06,18,2183
Melbourne Central,2019-07-06T09:00:00Z,2019-07-06,19,2659
Flinders Street Station Underpass,2019-07-06T09:00:00Z,2019-07-06,19,1839
Melbourne Central,2019-07-06T10:00:00Z,2019-07-06,20,2567
Flinders Street Station Underpass,2019-07-06T10:00:00Z,2019-07-06,20,1470
Melbourne Central,2019-07-06T11:00:00Z,2019-07-06,21,2208
Flinders Street Station Underpass,2019-07-06T11:00:00Z,2019-07-06,21,1297
Melbourne Central,2019-07-06T12:00:00Z,2019-07-06,22,1698
Flinders Street Station Underpass,2019-07-06T12:00:00Z,2019-07-06,22,1280
Melbourne Central,2019-07-06T13:00:00Z,2019-07-06,23,1332
Flinders Street Station Underpass,2019-07-06T13:00:00Z,2019-07-06,23,979
Melbourne Central,2019-07-06T14:00:00Z,2019-07-07,0,856
Flinders Street Station Underpass,2019-07-06T14:00:00Z,2019-07-07,0,607
Melbourne Central,2019-07-06T15:00:00Z,2019-07-07,1,613
Flinders Street Station Underpass,2019-07-06T15:00:00Z,2019-07-07,1,354
Melbourne Central,2019-07-06T16:00:00Z,2019-07-07,2,375
Flinders Street Station Underpass,2019-07-06T16:00:00Z,2019-07-07,2,231
Melbourne Central,2019-07-06T17:00:00Z,2019-07-07,3,236
Flinders Street Station Underpass,2019-07-06T17:00:00Z,2019-07-07,3,187
Melbourne Central,2019-07-06T18:00:00Z,2019-07-07,4,145
Flinders Street Station Underpass,2019-07-06T18:00:00Z,2019-07-07,4,154
Melbourne Central,2019-07-06T19:00:00Z,2019-07-07,5,132
Flinders Street Station Underpass,2019-07-06T19:00:00Z,2019-07-07,5,125
Melbourne Central,2019-07-06T20:00:00Z,2019-07-07,6,66
Flinders Street Station Underpass,2019-07-06T20:00:00Z,2019-07-07,6,182
Melbourne Central,2019-07-06T21:00:00Z,2019-07-07,7,164
Flinders Street Station Underpass,2019-07-06T21:00:00Z,2019-07-07,7,271
Melbourne Central,2019-07-06T22:00:00Z,2019-07-07,8,237
Flinders Street Station Underpass,2019-07-06T22:00:00Z,2019-07-07,8,415
Melbourne Central,2019-07-06T23:00:00Z,2019-07-07,9,422
Flinders Street Station Underpass,2019-07-06T23:00:00Z,2019-07-07,9,683
