state,schtype,yr,birthmonth,birthyr,gender,desk,room,computer,internet,solarpanels,tvs,cars,music_instr,books,birthcnt,mother_birthcnt,father_birthcnt,test_anxiety,ambitious,prefer_team,make_friends_easy,tardy,science_fun,breakfast,work_pay,sport,internet_use,install_software,outhours_study,math_time,read_time,science_time,belong,anxtest,motivat,language,home_edres,home_poss,wealth,stuweight,math,science,read
SA,Ind,Y10,9,1999,male,1,1,1,1,0036002,3,3,3,2,2,2,2,3,3,3,2,3,1,2,2,1,NaN,NaN,22,NA,NA,NA,-0.6981,0.2092,-0.4954,641,-0.7218,-0.5863,-0.5029,11.78813,529.5192,482.8296,506.99709999999993
SA,Ind,Y10,5,1999,female,1,1,1,1,0036001,2,3,4,6,1,1,1,3,4,4,3,2,3,2,2,2,5,3,24,405,225,450,-1.35,0.5306,1.8543,313,1.1563,1.2072,0.2257,12.82079,566.3143,579.8498000000001,607.5291
WA,Gov,Y10,3,2000,female,1,1,1,1,0036002,2,2,1,3,1,1,1,3,3,2,3,1,3,1,2,1,6,2,12,240,240,240,-1.2158,0.1837,0.0614,313,-1.0509,-1.0594,-0.5899,18.19842,551.8258,548.1803000000001,580.9309
WA,Gov,Y10,1,2000,female,1,1,1,1,0036001,4,NA,2,2,1,1,1,2,3,3,2,1,3,1,1,1,4,NA,25,240,240,240,-0.3381,-0.2729,-0.4495,313,1.1563,0.6519,1.1622,18.19842,447.51219999999995,423.1471,414.1929
WA,Gov,Y10,11,1999,female,2,1,1,1,0036002,3,2,2,1,2,2,2,2,4,1,2,1,3,1,2,2,NaN,NaN,6,240,240,240,0.2947,-0.6871,0.5387,801,-1.0757,-0.6301,-0.7483,18.19842,416.36769999999996,393.7059999999999,376.1272
WA,Gov,Y10,2,2000,female,1,1,1,1,0036002,4,2,4,5,1,1,1,1,3,2,1,1,4,2,2,1,NaN,NaN,NA,260,260,260,-0.6565,-0.6181,0.4631,313,-1.3733,0.7136,0.8319,18.19842,495.11679999999996,498.91759999999994,474.38419999999996
WA,Gov,Y10,3,2000,female,1,1,1,1,0036001,3,2,1,5,1,1,1,3,2,2,3,1,2,1,2,2,6,2,1,240,240,240,-0.8844,1.3538,-1.4072,313,-1.3733,-0.6447,0.055,18.19842,501.49080000000004,503.69440000000003,523.9490999999999
WA,Gov,Y10,8,1999,female,1,1,1,2,0036001,3,3,2,1,1,2,1,2,3,3,1,4,1,1,2,2,NaN,NaN,12,220,220,220,-0.0099,-0.6871,-0.4849,313,-0.5343,-0.0533,0.3301,18.19842,431.5461,441.5526000000001,430.94040000000007
WA,Gov,Y10,7,1999,female,1,1,1,1,0036002,4,4,4,2,1,1,1,4,1,4,2,1,3,2,1,2,5,2,24,240,240,240,0.0048,1.1338,-0.3954,313,1.1563,0.9331,1.1207,18.19842,370.39250000000004,379.91880000000003,327.1149
WA,Gov,Y10,4,2000,female,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,18.19842,496.4016,538.1881000000001,545.0222
