Sensor,Date_Time,Date,Time,Count
Melbourne Central,2018-01-16T21:00:00Z,2018-01-17,8,663
Melbourne Central,2018-01-16T22:00:00Z,2018-01-17,9,730
Melbourne Central,2018-01-16T23:00:00Z,2018-01-17,10,964
Melbourne Central,2018-01-17T00:00:00Z,2018-01-17,11,1237
Melbourne Central,2018-01-17T01:00:00Z,2018-01-17,12,2131
Melbourne Central,2018-01-17T02:00:00Z,2018-01-17,13,2259
Melbourne Central,2018-01-17T03:00:00Z,2018-01-17,14,2112
Melbourne Central,2018-01-17T04:00:00Z,2018-01-17,15,1974
Melbourne Central,2018-01-17T05:00:00Z,2018-01-17,16,2052
Melbourne Central,2018-01-17T06:00:00Z,2018-01-17,17,2485
Melbourne Central,2018-01-17T07:00:00Z,2018-01-17,18,2273
Melbourne Central,2018-01-17T08:00:00Z,2018-01-17,19,2130
