Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
1966-67,NBA,New York Knicks*,36,45,.444,4th of 5,-2.74,,118.5,-3.1,97.9,1.8,100.5,4.4,,Lost E. Div. Semis,D. McGuire (36-45),W. Bellamy (8.8)
1965-66,NBA,New York Knicks,30,50,.375,4th of 4,-2.31,,118.9,-2.5,97.8,2.9,99.9,5.0,,,H. Gallatin (6-15) D. McGuire (24-35),W. Bellamy (8.9)
1964-65,NBA,New York Knicks,31,49,.388,4th of 4,-3.26,,113.5,-3.8,93.2,-0.4,96.4,2.8,,,E. Donovan (12-26) H. Gallatin (19-23),W. Reed (5.5)
1963-64,NBA,New York Knicks,22,58,.275,4th of 4,-5.91,,117.1,3.9,95.4,0.8,101.2,6.6,,,E. Donovan (22-58),B. McGill (4.5)
1962-63,NBA,New York Knicks,21,59,.263,4th of 4,-6.20,,117.5,2.5,93.5,-2.4,99.7,3.8,,,E. Donovan (21-59),R. Guerin (7.2)
1961-62,NBA,New York Knicks,29,51,.363,4th of 4,-3.98,,125.6,4.3,91.2,-2.4,95.0,1.4,,,E. Donovan (29-51),R. Guerin (12.1)
1960-61,NBA,New York Knicks,21,58,.266,4th of 4,-5.43,,122.9,-0.6,91.9,-0.2,97.1,5.0,,,C. Braun (21-58),W. Naulls (5.7)
1959-60,NBA,New York Knicks,27,48,.360,4th of 4,-1.43,,125.9,3.6,93.0,1.9,94.9,3.8,,,A. Levane (8-19) C. Braun (19-29),K. Sears (8.8)
1958-59,NBA,New York Knicks*,40,32,.556,2nd of 4,0.49,,118.0,6.0,93.0,2.8,92.7,2.5,,Lost E. Div. Semis,A. Levane (40-32),K. Sears (13.3)
1957-58,NBA,New York Knicks,35,37,.486,4th of 4,1.35,,121.5,4.5,91.7,2.9,90.8,2.0,,,V. Boryla (35-37),K. Sears (10.0)
1956-57,NBA,New York Knicks,36,36,.500,4th of 4,0.07,,110.5,5.6,90.6,1.7,90.7,1.8,,,V. Boryla (36-36),H. Gallatin (8.1)
1955-56,NBA,New York Knicks*,35,37,.486,4th of 4,-0.20,,106.5,3.7,92.4,2.1,92.8,2.5,,Lost E. Div. Third Place Tiebreaker,J. Lapchick (26-25) V. Boryla (9-12),K. Sears (6.2)
1954-55,NBA,New York Knicks*,38,34,.528,2nd of 5,0.11,,101.8,3.7,90.2,0.4,90.1,0.3,,Lost E. Div. Semis,J. Lapchick (38-34),H. Gallatin (8.3)
1953-54,NBA,New York Knicks*,44,28,.611,1st of 5,-0.16,,87.4,3.8,89.3,1.8,89.4,1.9,,Eliminated in E. Div. Rnd. Robin,J. Lapchick (44-28),H. Gallatin (11.8)
1952-53,NBA,New York Knicks*,47,23,.671,1st of 5,4.39,,93.1,12.6,90.5,2.5,85.0,-2.7,,Lost Finals,J. Lapchick (47-23),H. Gallatin (11.3)
1951-52,NBA,New York Knicks*,37,29,.561,3rd of 5,0.67,,94.9,9.1,88.7,1.8,87.9,1.0,,Lost Finals,J. Lapchick (37-29),H. Gallatin (8.9)
1950-51,NBA,New York Knicks*,36,30,.545,3rd of 6,0.49,,94.8,9.3,88.0,2.9,87.6,2.5,,Lost Finals,J. Lapchick (36-30),H. Gallatin (7.6)
1949-50,NBA,New York Knicks*,40,28,.588,2nd of 6,2.53,,,,,,,,,Lost E. Div. Finals,J. Lapchick (40-28),H. Gallatin (7.8)
1948-49,BAA,New York Knicks*,32,28,.533,2nd of 6,1.24,,,,,,,,,Lost E. Div. Finals,J. Lapchick (32-28),B. Palmer (7.2)
1947-48,BAA,New York Knicks*,26,22,.542,2nd of 4,2.30,,,,,,,,,Lost Quarterfinals,J. Lapchick (26-22),B. Palmer (7.4)
1946-47,BAA,New York Knicks*,33,27,.550,3rd of 6,0.58,,,,,,,,,Lost Semis,N. Cohalan (33-27),O. Schectman (4.3)
