Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
1985-86,NBA,Los Angeles Clippers,32,50,.390,4th of 6,-6.83,,102.7,0.6,105.4,-1.8,112.1,4.9,,,D. Chaney (32-50),M. Johnson (5.9)
1984-85,NBA,Los Angeles Clippers,31,51,.378,5th of 6,-4.55,,100.9,-1.2,105.8,-2.1,110.3,2.4,,,J. Lynam (22-39) D. Chaney (9-12),D. Smith (8.0)
1983-84,NBA,San Diego Clippers,30,52,.366,6th of 6,-3.21,,101.1,-0.3,109.2,1.6,112.4,4.8,,,J. Lynam (30-52),T. Cummings (7.5)
1982-83,NBA,San Diego Clippers,25,57,.305,6th of 6,-4.61,,103.0,-0.1,104.7,0.0,109.3,4.6,,,P. Silas (25-57),T. Cummings (8.7)
1981-82,NBA,San Diego Clippers,17,65,.207,6th of 6,-7.05,,101.4,0.5,106.6,-0.3,113.8,6.9,,,P. Silas (17-65),J. Whitehead (5.3)
1980-81,NBA,San Diego Clippers,36,46,.439,5th of 6,-1.78,,100.2,-1.6,106.0,0.5,107.6,2.1,,,P. Silas (36-46),S. Nater (8.6)
1979-80,NBA,San Diego Clippers,35,47,.427,5th of 6,-3.97,,101.4,-1.7,105.7,0.4,109.8,4.5,,,G. Shue (35-47),W. Free (8.0)
1978-79,NBA,San Diego Clippers,43,39,.524,5th of 6,-1.76,,106.3,0.5,106.2,2.4,107.9,4.1,,,G. Shue (43-39),W. Free (10.1)
1977-78,NBA,Buffalo Braves,27,55,.329,4th of 5,-3.55,,104.3,-2.4,100.3,-0.6,103.8,2.9,,,C. Fitzsimmons (27-55),R. Smith (7.9)
1976-77,NBA,Buffalo Braves,30,52,.366,4th of 5,-4.28,,107.3,0.8,97.6,-1.9,101.8,2.3,,,T. Locke (16-30) B. MacKinnon (3-4) J. Mullaney (11-18),A. Dantley (9.8)
1975-76,NBA,Buffalo Braves*,46,36,.561,3rd of 4,0.85,,108.2,2.7,99.0,0.7,98.2,-0.1,,Lost E. Conf. Semis,J. Ramsay (46-36),B. McAdoo (12.3)
1974-75,NBA,Buffalo Braves*,49,33,.598,2nd of 4,2.16,,107.7,3.2,99.8,2.1,97.8,0.1,,Lost E. Conf. Semis,J. Ramsay (49-33),B. McAdoo (17.8)
1973-74,NBA,Buffalo Braves*,42,40,.512,3rd of 4,-0.19,,111.6,3.8,99.3,1.6,99.4,1.7,,Lost E. Conf. Semis,J. Ramsay (42-40),B. McAdoo (15.3)
1972-73,NBA,Buffalo Braves,21,61,.256,3rd of 4,-8.85,,110.9,0.2,92.9,-3.9,101.2,4.4,,,J. Ramsay (21-61),B. Kauffman (7.9)
1971-72,NBA,Buffalo Braves,22,60,.268,4th of 4,-9.44,,108.3,-3.7,93.6,-4.3,102.1,4.2,,,D. Schayes (0-1) J. McCarthy (22-59),B. Kauffman (8.0)
1970-71,NBA,Buffalo Braves,22,60,.268,4th of 4,-8.02,,111.9,-3.2,93.7,-3.5,99.6,2.4,,,D. Schayes (22-60),B. Kauffman (7.9)
