Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
2005-06,NBA,Dallas Mavericks*,60,22,.732,2nd of 5,5.96,,87.8,-2.7,111.8,5.6,105.0,-1.2,,Lost Finals,A. Johnson (60-22),D. Nowitzki (17.7)
2004-05,NBA,Dallas Mavericks*,58,24,.707,2nd of 5,5.86,,92.7,1.8,110.3,4.2,104.1,-2.0,,Lost W. Conf. Semis,D. Nelson (42-22) A. Johnson (16-2),D. Nowitzki (15.6)
2003-04,NBA,Dallas Mavericks*,52,30,.634,3rd of 7,4.86,,93.2,3.1,112.1,9.2,107.4,4.5,,Lost W. Conf. 1st Rnd.,D. Nelson (52-30),D. Nowitzki (11.5)
2002-03,NBA,Dallas Mavericks*,60,22,.732,2nd of 7,7.90,,92.5,1.5,110.7,7.1,102.3,-1.3,,Lost W. Conf. Finals,D. Nelson (60-22),D. Nowitzki (16.1)
2001-02,NBA,Dallas Mavericks*,57,25,.695,2nd of 7,4.41,,92.8,2.1,112.2,7.7,107.7,3.2,,Lost W. Conf. Semis,D. Nelson (57-25),D. Nowitzki (13.4)
2000-01,NBA,Dallas Mavericks*,53,29,.646,3rd of 7,4.61,,93.2,1.9,107.1,4.1,102.6,-0.4,,Lost W. Conf. Semis,D. Nelson (53-29),D. Nowitzki (14.6)
1999-00,NBA,Dallas Mavericks,40,42,.488,4th of 7,-0.29,,94.9,1.8,106.6,2.5,107.2,3.1,,,D. Nelson (40-42),M. Finley (8.3)
1998-99,NBA,Dallas Mavericks,19,31,.380,5th of 7,-2.50,,89.0,0.1,102.3,0.1,104.9,2.7,,,D. Nelson (19-31),M. Finley (5.4)
1997-98,NBA,Dallas Mavericks,20,62,.244,5th of 7,-6.33,,89.9,-0.4,100.5,-4.5,107.2,2.2,,,J. Cleamons (4-12) D. Nelson (16-50),M. Finley (7.5)
1996-97,NBA,Dallas Mavericks,24,58,.293,4th of 7,-6.47,,89.0,-1.1,101.1,-5.6,108.2,1.5,,,J. Cleamons (24-58),A. Green (4.0)
1995-96,NBA,Dallas Mavericks,26,56,.317,6th of 7,-4.71,,95.4,3.6,106.1,-1.5,111.2,3.6,,,D. Motta (26-56),G. McCloud (5.8)
1994-95,NBA,Dallas Mavericks,36,46,.439,5th of 6,-2.39,,94.7,1.8,107.6,-0.7,110.6,2.3,,,D. Motta (36-46),J. Mashburn (6.3)
1993-94,NBA,Dallas Mavericks,13,69,.159,6th of 6,-8.19,,94.5,-0.6,100.4,-5.9,109.6,3.3,,,Q. Buckner (13-69),P. Jones (3.6)
1992-93,NBA,Dallas Mavericks,11,71,.134,6th of 6,-14.68,,99.5,2.7,99.5,-8.5,114.7,6.7,,,R. Adubato (2-27) G. Heard (9-44),D. Harper (2.7)
1991-92,NBA,Dallas Mavericks,22,60,.268,5th of 6,-7.47,,94.4,-2.2,103.0,-5.2,111.1,2.9,,,R. Adubato (22-60),R. Blackman (3.8)
1990-91,NBA,Dallas Mavericks,28,54,.341,6th of 7,-4.27,,94.2,-3.6,105.5,-2.4,110.3,2.4,,,R. Adubato (28-54),D. Harper (7.6)
1989-90,NBA,Dallas Mavericks*,47,35,.573,3rd of 7,0.42,,94.5,-3.8,107.2,-0.9,107.2,-0.9,,Lost W. Conf. 1st Rnd.,J. MacLeod (5-6) R. Adubato (42-29),D. Harper (9.9)
1988-89,NBA,Dallas Mavericks,38,44,.463,4th of 6,-1.79,,95.9,-4.7,107.4,-0.4,108.6,0.8,,,J. MacLeod (38-44),D. Harper (8.0)
1987-88,NBA,Dallas Mavericks*,53,29,.646,2nd of 6,3.59,,97.0,-2.6,112.2,4.2,107.7,-0.3,,Lost W. Conf. Finals,J. MacLeod (53-29),D. Harper (9.1)
1986-87,NBA,Dallas Mavericks*,55,27,.671,1st of 6,5.54,,100.5,-0.3,114.9,6.6,108.7,0.4,,Lost W. Conf. 1st Rnd.,D. Motta (55-27),J. Donaldson (10.4)
1985-86,NBA,Dallas Mavericks*,44,38,.537,3rd of 6,0.70,,102.2,0.1,112.1,4.9,111.0,3.8,,Lost W. Conf. Semis,D. Motta (44-38),S. Perkins (7.3)
1984-85,NBA,Dallas Mavericks*,44,38,.537,3rd of 6,1.80,,98.8,-3.3,111.5,3.6,109.3,1.4,,Lost W. Conf. 1st Rnd.,D. Motta (44-38),B. Davis (7.4)
1983-84,NBA,Dallas Mavericks*,43,39,.524,2nd of 6,0.15,,99.0,-2.4,110.0,2.4,109.6,2.0,,Lost W. Conf. Semis,D. Motta (43-39),R. Blackman (9.8)
1982-83,NBA,Dallas Mavericks,38,44,.463,4th of 6,-0.70,,102.8,-0.3,109.4,4.7,109.8,5.1,,,D. Motta (38-44),B. Davis (7.3)
1981-82,NBA,Dallas Mavericks,28,54,.341,5th of 6,-4.48,,98.5,-2.4,105.9,-1.0,110.4,3.5,,,D. Motta (28-54),J. Vincent (5.6)
1980-81,NBA,Dallas Mavericks,15,67,.183,6th of 6,-8.33,,98.6,-3.2,102.4,-3.1,110.8,5.3,,,D. Motta (15-67),J. Spanarkel (5.5)
