Team,Season,Place
CA Osasuna,1959,15
UD Las Palmas,1959,16
Real Madrid,1960,1
Atletico Madrid,1960,2
Real Zaragoza,1960,3
FC Barcelona,1960,4
Valencia CF,1960,5
Athletic Bilbao,1960,6
Real Betis,1960,7
Real Sociedad,1960,8
RCD Mallorca,1960,9
Espanyol Barcelona,1960,10
Racing Santander,1960,11
Sevilla FC,1960,12
Real Valladolid,1960,13
Real Oviedo,1960,14
Elche CF,1960,15
Granada CF,1960,16
Real Madrid,1961,1
FC Barcelona,1961,2
Atletico Madrid,1961,3
Real Zaragoza,1961,4
Athletic Bilbao,1961,5
Sevilla FC,1961,6
Valencia CF,1961,7
Elche CF,1961,8
RCD Mallorca,1961,9
Real Betis,1961,10
CA Osasuna,1961,11
Real Oviedo,1961,12
Racing Santander,1961,13
Espanyol Barcelona,1961,14
Real Sociedad,1961,15
CD Tenerife,1961,16
Real Madrid,1962,1
Atletico Madrid,1962,2
Real Oviedo,1962,3
Real Valladolid,1962,4
Real Zaragoza,1962,5
Valencia CF,1962,6
FC Barcelona,1962,7
Real Betis,1962,8
Elche CF,1962,9
Cordoba CF,1962,10
Athletic Bilbao,1962,11
Sevilla FC,1962,12
RCD Mallorca,1962,13
Deportivo La Coruna,1962,14
CA Osasuna,1962,15
CD Malaga,1962,16
Real Madrid,1963,1
FC Barcelona,1963,2
Real Betis,1963,3
Real Zaragoza,1963,4
Valencia CF,1963,5
Elche CF,1963,6
Athletic Bilbao,1963,7
Atletico Madrid,1963,8
Sevilla FC,1963,9
Levante UD,1963,10
Real Murcia,1963,11
Cordoba CF,1963,12
Espanyol Barcelona,1963,13
Real Oviedo,1963,14
Pontevedra CF,1963,15
Real Valladolid,1963,16
Real Madrid,1964,1
Atletico Madrid,1964,2
Real Zaragoza,1964,3
Valencia CF,1964,4
Cordoba CF,1964,5
FC Barcelona,1964,6
Elche CF,1964,7
Athletic Bilbao,1964,8
UD Las Palmas,1964,9
Sevilla FC,1964,10
Espanyol Barcelona,1964,11
Real Betis,1964,12
Levante UD,1964,13
Real Murcia,1964,14
Real Oviedo,1964,15
Deportivo La Coruna,1964,16
Real Madrid,1965,1
Atletico Madrid,1965,2
FC Barcelona,1965,3
Real Zaragoza,1965,4
Athletic Bilbao,1965,5
Elche CF,1965,6
Pontevedra CF,1965,7
Valencia CF,1965,8
Sevilla FC,1965,9
UD Las Palmas,1965,10
Cordoba CF,1965,11
CE Sabadell,1965,12
CD Malaga,1965,13
RCD Mallorca,1965,14
Espanyol Barcelona,1965,15
Real Betis,1965,16
Real Madrid,1966,1
FC Barcelona,1966,2
Espanyol Barcelona,1966,3
Atletico Madrid,1966,4
Real Zaragoza,1966,5
Valencia CF,1966,6
Athletic Bilbao,1966,7
CE Sabadell,1966,8
Elche CF,1966,9
Pontevedra CF,1966,10
Cordoba CF,1966,11
Sevilla FC,1966,12
UD Las Palmas,1966,13
Granada CF,1966,14
Hercules CF,1966,15
Deportivo La Coruna,1966,16
Real Madrid,1967,1
UD Las Palmas,1967,2
FC Barcelona,1967,3
Valencia CF,1967,4
Real Zaragoza,1967,5
Atletico Madrid,1967,6
Athletic Bilbao,1967,7
Pontevedra CF,1967,8
Espanyol Barcelona,1967,9
Elche CF,1967,10
CE Sabadell,1967,11
CD Malaga,1967,12
Cordoba CF,1967,13
Real Sociedad,1967,14
Real Betis,1967,15
Sevilla FC,1967,16
Real Madrid,1968,1
UD Las Palmas,1968,2
FC Barcelona,1968,3
CE Sabadell,1968,4
Valencia CF,1968,5
Granada CF,1968,6
Atletico Madrid,1968,7
Deportivo La Coruna,1968,8
Real Sociedad,1968,9
Athletic Bilbao,1968,10
Elche CF,1968,11
Real Zaragoza,1968,12
Pontevedra CF,1968,13
CD Malaga,1968,14
Espanyol Barcelona,1968,15
Cordoba CF,1968,16
Atletico Madrid,1969,1
Athletic Bilbao,1969,2
Valencia CF,1969,3
Sevilla FC,1969,4
Real Madrid,1969,5
Real Sociedad,1969,6
FC Barcelona,1969,7
Real Zaragoza,1969,8
UD Las Palmas,1969,9
Celta Vigo,1969,10
CE Sabadell,1969,11
Elche CF,1969,12
Granada CF,1969,13
Deportivo La Coruna,1969,14
RCD Mallorca,1969,15
Pontevedra CF,1969,16
FC Barcelona,1970,1
Valencia CF,1970,2
Atletico Madrid,1970,3
Real Madrid,1970,4
Celta Vigo,1970,5
Athletic Bilbao,1970,6
Sevilla FC,1970,7
Real Sociedad,1970,8
Granada CF,1970,9
CD Malaga,1970,10
Sporting Gijon,1970,11
Espanyol Barcelona,1970,12
CE Sabadell,1970,13
UD Las Palmas,1970,14
Elche CF,1970,15
Real Zaragoza,1970,16
Real Madrid,1971,1
Valencia CF,1971,2
FC Barcelona,1971,3
Atletico Madrid,1971,4
UD Las Palmas,1971,5
Granada CF,1971,6
Athletic Bilbao,1971,7
Real Sociedad,1971,8
CD Malaga,1971,9
Sporting Gijon,1971,10
Espanyol Barcelona,1971,11
Celta Vigo,1971,12
Deportivo La Coruna,1971,13
Real Betis,1971,14
Burgos CF,1971,15
Sevilla FC,1971,16
Cordoba CF,1971,17
CE Sabadell,1971,18
Atletico Madrid,1972,1
FC Barcelona,1972,2
Espanyol Barcelona,1972,3
Real Madrid,1972,4
CD Castellon,1972,5
Real Sociedad,1972,6
Valencia CF,1972,7
Athletic Bilbao,1972,8
CD Malaga,1972,9
Real Zaragoza,1972,10
UD Las Palmas,1972,11
Sporting Gijon,1972,12
Celta Vigo,1972,13
Real Oviedo,1972,14
Granada CF,1972,15
Real Betis,1972,16
Deportivo La Coruna,1972,17
Burgos CF,1972,18
FC Barcelona,1973,1
Atletico Madrid,1973,2
Real Zaragoza,1973,3
Real Sociedad,1973,4
Athletic Bilbao,1973,5
Granada CF,1973,6
