Player,Club,Kicks_TOT,Kicks_AVG,Handballs_TOT,Handballs_AVG,Disposals_TOT,Disposals_AVG,Cont Poss_TOT,Cont Poss_AVG,Uncont Poss_TOT,Uncont Poss_AVG,Disp eff %_TOT,Clangers_TOT,Clangers_AVG,Marks_TOT,Marks_AVG,Cont marks_TOT,Cont marks_AVG,Marks50_TOT,Marks50_AVG,Hit-outs_TOT,Hit-outs_AVG,Clearances_TOT,Clearances_AVG,Centre clr_TOT,Centre clr_AVG,Stoppages_TOT,Stoppages_AVG,Rebound50_TOT,Rebound50_AVG,Frees For_TOT,Frees For_AVG,Frees Agst_TOT,Frees Agst_AVG,Tackles_TOT,Tackles_AVG,One %s_TOT,One %s_AVG,Bounces_TOT,Bounces_AVG,Inside50_TOT,Inside50_AVG,Goals_TOT,Goals_AVG,Behinds_TOT,Behinds_AVG,Goal assists_TOT,Goal assists_AVG,Goal acc %_TOT,Matches_TOT,Time On Ground %_TOT
Danielle Hardiman,CARL,52,8.7,12,2,64,10.7,35,5.8,26,4.3,57.8,16,2.7,15,2.5,3,0.5,0,0,0,0,0,0,0,0,0,0,21,3.5,2,0.3,2,0.3,15,2.5,6,1,2,0.3,0,0,0,0,0,0,0,0,0,6,88.1
Darcy Vescio,CARL,39,5.6,11,1.6,50,7.1,38,5.4,13,1.9,64,9,1.3,13,1.9,7,1,9,1.3,0,0,2,0.3,0,0,2,0.3,0,0,6,0.9,4,0.6,18,2.6,4,0.6,1,0.1,7,1,14,2,4,0.6,2,0.3,63.6,7,99.2
Dayna Cox,ADEL,44,5.5,22,2.8,66,8.3,35,4.4,32,4,57.6,10,1.3,9,1.1,0,0,2,0.3,0,0,4,0.5,0,0,4,0.5,8,1,5,0.6,4,0.5,16,2,7,0.9,0,0,5,0.6,0,0,0,0,0,0,0,8,75.8
Deanna Berry,MELB,43,6.1,6,0.9,49,7,24,3.4,20,2.9,49,13,1.9,11,1.6,1,0.1,3,0.4,0,0,1,0.1,0,0,1,0.1,4,0.6,4,0.6,4,0.6,7,1,5,0.7,1,0.1,11,1.6,5,0.7,5,0.7,2,0.3,45.5,7,65.6
Delissa Kimmince,BL,7,7,0,0,7,7,1,1,5,5,71.4,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,67.3
Demi Okely,FRE,18,2.6,4,0.6,22,3.1,14,2,12,1.7,31.8,12,1.7,5,0.7,0,0,0,0,0,0,2,0.3,0,0,2,0.3,0,0,1,0.1,8,1.1,7,1,0,0,0,0,7,1,0,0,1,0.1,0,0,0,7,54.8
Deni Varnhagen,ADEL,57,7.1,17,2.1,74,9.3,28,3.5,46,5.8,50,16,2,17,2.1,0,0,2,0.3,0,0,8,1,2,0.3,6,0.8,9,1.1,4,0.5,4,0.5,14,1.8,10,1.3,1,0.1,16,2,2,0.3,0,0,0,0,40,8,69.4
Ebony Antonio,FRE,45,7.5,25,4.2,70,11.7,37,6.2,32,5.3,58.6,15,2.5,19,3.2,3,0.5,0,0,0,0,9,1.5,5,0.8,4,0.7,10,1.7,7,1.2,2,0.3,27,4.5,6,1,1,0.2,11,1.8,2,0.3,1,0.2,2,0.3,66.7,6,96.9
Ebony Marinoff,ADEL,97,12.1,31,3.9,128,16,72,9,51,6.4,53.9,31,3.9,19,2.4,3,0.4,1,0.1,0,0,25,3.1,8,1,17,2.1,11,1.4,8,1,16,2,76,9.5,4,0.5,0,0,30,3.8,0,0,2,0.3,1,0.1,0,8,80.1
Elise O'Dea,MELB,82,11.7,53,7.6,135,19.3,58,8.3,77,11,60,24,3.4,20,2.9,1,0.1,2,0.3,1,0.1,19,2.7,5,0.7,14,2,7,1,6,0.9,10,1.4,32,4.6,4,0.6,0,0,20,2.9,1,0.1,1,0.1,4,0.6,25,7,80.3
Elise Strachan,MELB,2,2,0,0,2,2,0,0,1,1,50,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,48.3
Ella Ross,GWS,20,2.9,16,2.3,36,5.1,23,3.3,12,1.7,55.6,8,1.1,3,0.4,0,0,1,0.1,0,0,10,1.4,4,0.6,6,0.9,3,0.4,2,0.3,6,0.9,17,2.4,1,0.1,0,0,3,0.4,0,0,0,0,1,0.1,0,7,43.4
Ellie Blackburn,WB,101,14.4,35,5,136,19.4,62,8.9,72,10.3,54.4,25,3.6,17,2.4,0,0,4,0.6,0,0,24,3.4,4,0.6,20,2.9,14,2,7,1,8,1.1,26,3.7,7,1,2,0.3,25,3.6,6,0.9,12,1.7,0,0,28.6,7,95.5
Ellie Brush,GWS,35,5.8,11,1.8,46,7.7,22,3.7,19,3.2,52.2,4,0.7,8,1.3,1,0.2,1,0.2,0,0,3,0.5,0,0,3,0.5,2,0.3,2,0.3,2,0.3,16,2.7,2,0.3,1,0.2,6,1,1,0.2,1,0.2,2,0.3,33.3,6,88.4
Ellyse Gamble,WB,10,1.7,12,2,22,3.7,11,1.8,12,2,45.5,8,1.3,5,0.8,2,0.3,1,0.2,1,0.2,0,0,0,0,0,0,0,0,1,0.2,3,0.5,9,1.5,7,1.2,0,0,3,0.5,0,0,1,0.2,0,0,0,6,83.2
Emily Bates,BL,84,10.5,41,5.1,125,15.6,66,8.3,59,7.4,57.6,22,2.8,21,2.6,4,0.5,5,0.6,0,0,17,2.1,4,0.5,13,1.6,14,1.8,12,1.5,9,1.1,38,4.8,9,1.1,4,0.5,14,1.8,1,0.1,1,0.1,3,0.4,25,8,74.4
Emily Bonser,FRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emma Grant,COLL,35,5,10,1.4,45,6.4,20,2.9,30,4.3,66.7,11,1.6,17,2.4,1,0.1,1,0.1,1,0.1,5,0.7,1,0.1,4,0.6,7,1,3,0.4,3,0.4,23,3.3,13,1.9,1,0.1,6,0.9,1,0.1,0,0,0,0,100,7,71.4
Emma Humphries,MELB,27,3.9,10,1.4,37,5.3,23,3.3,15,2.1,59.5,8,1.1,6,0.9,0,0,0,0,0,0,6,0.9,1,0.1,5,0.7,2,0.3,7,1,2,0.3,13,1.9,2,0.3,3,0.4,10,1.4,1,0.1,0,0,1,0.1,100,7,53.6
